start,end,type,night
1646920410.0,1646920430.0,motion,2022-03-10
1646921670.0,1646921690.0,motion,2022-03-10
1646924230.0,1646924260.0,motion,2022-03-10
1646924660.0,1646925410.0,motion,2022-03-10
1646927340.0,1646927970.0,motion,2022-03-10
1646928610.0,1646931300.0,motion,2022-03-10
1646931980.0,1646932570.0,motion,2022-03-10
1646933270.0,1646935640.0,motion,2022-03-10
1646936220.0,1646936300.0,motion,2022-03-10
1646936840.0,1646937420.0,motion,2022-03-10
1646938140.0,1646938570.0,motion,2022-03-10
1646967840.0,1646970000.0,wake,2022-03-11
1646970560.0,1646970630.0,wake,2022-03-11
1646971020.0,1646971370.0,wake,2022-03-11
1646974220.0,1646974550.0,wake,2022-03-11
1646975350.0,1646976670.0,wake,2022-03-11
1646977550.0,1646977760.0,wake,2022-03-11
1647007290.0,1647007560.0,wake,2022-03-11
1647011890.0,1647011950.0,wake,2022-03-11
1647013090.0,1647013680.0,wake,2022-03-11
1647015500.0,1647018680.0,wake,2022-03-11
1647019060.0,1647019380.0,wake,2022-03-11
1647019690.0,1647019900.0,wake,2022-03-11
1647020580.0,1647020670.0,wake,2022-03-11
1647022120.0,1647022260.0,wake,2022-03-11
1647023200.0,1647024040.0,wake,2022-03-11
1647024370.0,1647024500.0,wake,2022-03-11
1646967820.0,1646969980.0,motion,2022-03-11
1646970420.0,1646970590.0,motion,2022-03-11
1646971000.0,1646971350.0,motion,2022-03-11
1646972560.0,1646972580.0,motion,2022-03-11
1646974160.0,1646974530.0,motion,2022-03-11
1646974890.0,1646974900.0,motion,2022-03-11
1646975300.0,1646976780.0,motion,2022-03-11
1646977370.0,1646977750.0,motion,2022-03-11
1646982350.0,1646982360.0,motion,2022-03-11
1646984770.0,1646984800.0,motion,2022-03-11
1646994710.0,1646994730.0,motion,2022-03-11
1646996490.0,1646996540.0,motion,2022-03-11
1646997290.0,1646997300.0,motion,2022-03-11
1646999160.0,1646999180.0,motion,2022-03-11
1647005310.0,1647005320.0,motion,2022-03-11
1647005690.0,1647006010.0,motion,2022-03-11
1647007230.0,1647007530.0,motion,2022-03-11
1647011850.0,1647011920.0,motion,2022-03-11
1647013050.0,1647013650.0,motion,2022-03-11
1647015460.0,1647020020.0,motion,2022-03-11
1647020540.0,1647020930.0,motion,2022-03-11
1647021720.0,1647022250.0,motion,2022-03-11
1647022750.0,1647024010.0,motion,2022-03-11
1647024330.0,1647024490.0,motion,2022-03-11
1647141900.0,1647142650.0,wake,2022-03-13
1647142960.0,1647143110.0,wake,2022-03-13
1647143730.0,1647144230.0,wake,2022-03-13
1647145960.0,1647145980.0,wake,2022-03-13
1647146290.0,1647146360.0,wake,2022-03-13
1647149410.0,1647152690.0,wake,2022-03-13
1647155720.0,1647156530.0,wake,2022-03-13
1647157870.0,1647157890.0,wake,2022-03-13
1647184470.0,1647184510.0,wake,2022-03-13
1647187220.0,1647187350.0,wake,2022-03-13
1647187710.0,1647191900.0,wake,2022-03-13
1647141580.0,1647144190.0,motion,2022-03-13
1647145030.0,1647145070.0,motion,2022-03-13
1647145940.0,1647146320.0,motion,2022-03-13
1647147360.0,1647147390.0,motion,2022-03-13
1647148770.0,1647148790.0,motion,2022-03-13
1647149370.0,1647152670.0,motion,2022-03-13
1647154940.0,1647154960.0,motion,2022-03-13
1647155680.0,1647156730.0,motion,2022-03-13
1647157070.0,1647157290.0,motion,2022-03-13
1647157790.0,1647158460.0,motion,2022-03-13
1647170200.0,1647170220.0,motion,2022-03-13
1647171550.0,1647171570.0,motion,2022-03-13
1647174590.0,1647174610.0,motion,2022-03-13
1647176450.0,1647176490.0,motion,2022-03-13
1647182260.0,1647182280.0,motion,2022-03-13
1647184090.0,1647184110.0,motion,2022-03-13
1647184420.0,1647184490.0,motion,2022-03-13
1647185130.0,1647185690.0,motion,2022-03-13
1647186530.0,1647186540.0,motion,2022-03-13
1647187150.0,1647187310.0,motion,2022-03-13
1647187680.0,1647191870.0,motion,2022-03-13
1647054130.0,1647054770.0,wake,2022-03-12
1647055640.0,1647055680.0,wake,2022-03-12
1647056000.0,1647056020.0,wake,2022-03-12
1647056490.0,1647057840.0,wake,2022-03-12
1647058420.0,1647059920.0,wake,2022-03-12
1647060280.0,1647060550.0,wake,2022-03-12
1647060910.0,1647060970.0,wake,2022-03-12
1647062540.0,1647062630.0,wake,2022-03-12
1647063780.0,1647064970.0,wake,2022-03-12
1647075110.0,1647075210.0,wake,2022-03-12
1647087720.0,1647087770.0,wake,2022-03-12
1647093690.0,1647093710.0,wake,2022-03-12
1647094700.0,1647094710.0,wake,2022-03-12
1647095060.0,1647095200.0,wake,2022-03-12
1647099320.0,1647099400.0,wake,2022-03-12
1647102490.0,1647102520.0,wake,2022-03-12
1647104420.0,1647105690.0,wake,2022-03-12
1647106490.0,1647106870.0,wake,2022-03-12
1647107380.0,1647107430.0,wake,2022-03-12
1647108360.0,1647108660.0,wake,2022-03-12
1647109360.0,1647109410.0,wake,2022-03-12
1647109840.0,1647110040.0,wake,2022-03-12
1647110500.0,1647110640.0,wake,2022-03-12
1647111180.0,1647111260.0,wake,2022-03-12
1647054090.0,1647054730.0,motion,2022-03-12
1647055440.0,1647057830.0,motion,2022-03-12
1647058380.0,1647060960.0,motion,2022-03-12
1647062430.0,1647062740.0,motion,2022-03-12
1647063730.0,1647064930.0,motion,2022-03-12
1647067100.0,1647067120.0,motion,2022-03-12
1647070450.0,1647070480.0,motion,2022-03-12
1647072400.0,1647072410.0,motion,2022-03-12
1647074710.0,1647074740.0,motion,2022-03-12
1647075090.0,1647075190.0,motion,2022-03-12
1647078680.0,1647078710.0,motion,2022-03-12
1647083730.0,1647083770.0,motion,2022-03-12
1647087680.0,1647087960.0,motion,2022-03-12
1647092880.0,1647092900.0,motion,2022-03-12
1647093410.0,1647093710.0,motion,2022-03-12
1647094570.0,1647095190.0,motion,2022-03-12
1647098840.0,1647098860.0,motion,2022-03-12
1647099280.0,1647099370.0,motion,2022-03-12
1647100370.0,1647100390.0,motion,2022-03-12
1647100740.0,1647100770.0,motion,2022-03-12
1647101170.0,1647101720.0,motion,2022-03-12
1647102260.0,1647102470.0,motion,2022-03-12
1647102850.0,1647102870.0,motion,2022-03-12
1647103800.0,1647103810.0,motion,2022-03-12
1647104370.0,1647105670.0,motion,2022-03-12
1647106340.0,1647107010.0,motion,2022-03-12
1647107340.0,1647107880.0,motion,2022-03-12
1647108290.0,1647108830.0,motion,2022-03-12
1647109150.0,1647110020.0,motion,2022-03-12
1647110470.0,1647110590.0,motion,2022-03-12
1647111130.0,1647111460.0,motion,2022-03-12
1646708560.0,1646709030.0,wake,2022-03-08
1646710350.0,1646711240.0,wake,2022-03-08
1646711720.0,1646711730.0,wake,2022-03-08
1646712050.0,1646712100.0,wake,2022-03-08
1646714220.0,1646714410.0,wake,2022-03-08
1646717450.0,1646718740.0,wake,2022-03-08
1646719100.0,1646719180.0,wake,2022-03-08
1646719710.0,1646719830.0,wake,2022-03-08
1646720140.0,1646720220.0,wake,2022-03-08
1646748320.0,1646749850.0,wake,2022-03-08
1646751500.0,1646755760.0,wake,2022-03-08
1646757730.0,1646757750.0,wake,2022-03-08
1646758290.0,1646759000.0,wake,2022-03-08
1646759330.0,1646762600.0,wake,2022-03-08
1646762920.0,1646765800.0,wake,2022-03-08
1646708420.0,1646709280.0,motion,2022-03-08
1646710320.0,1646712310.0,motion,2022-03-08
1646714180.0,1646715350.0,motion,2022-03-08
1646716100.0,1646716120.0,motion,2022-03-08
1646716620.0,1646717060.0,motion,2022-03-08
1646717420.0,1646719330.0,motion,2022-03-08
1646719650.0,1646720190.0,motion,2022-03-08
1646730330.0,1646730420.0,motion,2022-03-08
1646744420.0,1646744450.0,motion,2022-03-08
1646745840.0,1646745850.0,motion,2022-03-08
1646748020.0,1646749830.0,motion,2022-03-08
1646751460.0,1646756310.0,motion,2022-03-08
1646756620.0,1646757030.0,motion,2022-03-08
1646757430.0,1646757800.0,motion,2022-03-08
1646758240.0,1646758990.0,motion,2022-03-08
1646759300.0,1646765840.0,motion,2022-03-08
1646795700.0,1646795990.0,wake,2022-03-09
1646798220.0,1646798540.0,wake,2022-03-09
1646799160.0,1646799260.0,wake,2022-03-09
1646799710.0,1646799760.0,wake,2022-03-09
1646803020.0,1646803180.0,wake,2022-03-09
1646803670.0,1646803680.0,wake,2022-03-09
1646806130.0,1646808230.0,wake,2022-03-09
1646832630.0,1646832700.0,wake,2022-03-09
1646833810.0,1646835040.0,wake,2022-03-09
1646839250.0,1646839560.0,wake,2022-03-09
1646842780.0,1646843020.0,wake,2022-03-09
1646843710.0,1646844310.0,wake,2022-03-09
1646846600.0,1646848360.0,wake,2022-03-09
1646849510.0,1646850180.0,wake,2022-03-09
1646850590.0,1646851100.0,wake,2022-03-09
1646851740.0,1646851810.0,wake,2022-03-09
1646795160.0,1646796630.0,motion,2022-03-09
1646797080.0,1646797110.0,motion,2022-03-09
1646797500.0,1646797570.0,motion,2022-03-09
1646798180.0,1646798650.0,motion,2022-03-09
1646798970.0,1646799320.0,motion,2022-03-09
1646799640.0,1646802060.0,motion,2022-03-09
1646802970.0,1646808190.0,motion,2022-03-09
1646817470.0,1646817490.0,motion,2022-03-09
1646823560.0,1646823580.0,motion,2022-03-09
1646824290.0,1646824310.0,motion,2022-03-09
1646825710.0,1646825750.0,motion,2022-03-09
1646832610.0,1646832660.0,motion,2022-03-09
1646833510.0,1646835400.0,motion,2022-03-09
1646837710.0,1646837830.0,motion,2022-03-09
1646838300.0,1646838320.0,motion,2022-03-09
1646839190.0,1646839890.0,motion,2022-03-09
1646842530.0,1646843000.0,motion,2022-03-09
1646843440.0,1646844590.0,motion,2022-03-09
1646845680.0,1646845690.0,motion,2022-03-09
1646846130.0,1646846140.0,motion,2022-03-09
1646846560.0,1646848350.0,motion,2022-03-09
1646848720.0,1646849000.0,motion,2022-03-09
1646849360.0,1646850150.0,motion,2022-03-09
1646850550.0,1646851070.0,motion,2022-03-09
1646851560.0,1646852150.0,motion,2022-03-09
